Contract Month,Last,Change,Open Interest,FALSE,1,3-Jan-17
December,572,2,1975,TRUE,55,14-Dec-16
January,620,5,1561,TRUE,55,14-Dec-16
February,620,5,1492,TRUE,55,14-Dec-16
March,618,3,1279,TRUE,55,14-Dec-16
April,613,4,1179,TRUE,55,14-Dec-16
May,611,2,1143,TRUE,55,14-Dec-16
June,610,1,1120,TRUE,55,14-Dec-16
July,609,1,893,TRUE,55,14-Dec-16
August,609,1,869,TRUE,55,14-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,56,16-Dec-16
December,585,13,1975,TRUE,56,16-Dec-16
January,620,unc,1561,TRUE,56,16-Dec-16
February,625,5,1492,TRUE,56,16-Dec-16
March,616,-2,1279,TRUE,56,16-Dec-16
April,610,-3,1179,TRUE,56,16-Dec-16
May,610,-1,1143,TRUE,56,16-Dec-16
June,610,unc,1120,TRUE,56,16-Dec-16
July,606,-3,893,TRUE,56,16-Dec-16
August,606,-3,869,TRUE,56,16-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,57,19-Dec-16
December,585,unc,1975,TRUE,57,19-Dec-16
January,622,2,1561,TRUE,57,19-Dec-16
February,627,2,1492,TRUE,57,19-Dec-16
March,620,4,1279,TRUE,57,19-Dec-16
April,612,2,1179,TRUE,57,19-Dec-16
May,610,unc,1143,TRUE,57,19-Dec-16
June,608,-2,1120,TRUE,57,19-Dec-16
July,606,unc,893,TRUE,57,19-Dec-16
August,606,unc,869,TRUE,57,19-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,58,20-Dec-16
December,585,unc,1975,TRUE,58,20-Dec-16
January,622,unc,1561,TRUE,58,20-Dec-16
February,627,unc,1492,TRUE,58,20-Dec-16
March,620,unc,1279,TRUE,58,20-Dec-16
April,608,-4,1179,TRUE,58,20-Dec-16
May,610,unc,1143,TRUE,58,20-Dec-16
June,608,unc,1120,TRUE,58,20-Dec-16
July,606,unc,893,TRUE,58,20-Dec-16
August,606,unc,869,TRUE,58,20-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,59,22-Dec-16
December,585,unc,1975,TRUE,59,22-Dec-16
January,630,2,1489,TRUE,59,22-Dec-16
February,630,4,1492,TRUE,59,22-Dec-16
March,630,6,1279,TRUE,59,22-Dec-16
April,612,unc,1179,TRUE,59,22-Dec-16
May,600,-10,1143,TRUE,59,22-Dec-16
June,600,-10,1120,TRUE,59,22-Dec-16
July,600,-10,893,TRUE,59,22-Dec-16
August,600,-10,869,TRUE,59,22-Dec-16
